Word,Count
Kick-Ass,1
48071303,1
54651359.0112903,1
35839668,1
4514637,1
40496294,1
50/50,1
35016118,1
39565740.6554852,1
232,1
92522208,1
11623385,1
104261763,1
Dark Shadows,1
79727149,1
89843220.2753277,1
233,1
188672454,1
23206939,1
208166243,1
American Hustle,2
87923123,1
97007410.4603361,1
234,1
181517016,1
22217499,1
199290966,1
62194684,1
68284720.2293406,1
235,1
74779827,1
8445027,1
75751892,1
Krampus,1
41465710,1
42004723.8892826,1
236,1
49182952,1
5536337,1
49660943,1
The Nice Guys,1
36261763,1
36614177.7220389,1
237,1
61215946,1
6824518,1
61215926,1
Three Billboards Outside Ebbing,2
Missouri,2
24164629,1
24164621.1051195,1
238,1
141282717,1
15750577,1
141282676,1
30349111,1
30349102.1927405,1
239,1
Western,21
36538078,1
8399556,1
75344017,1
The Quick and the Dead,1
18552460,1
38256441.9954388,1
240,1
1118960,1
253157,1
2270818,1
Dead Man,1
1025488,1
2081125.87508401,1
241,1
491069,2
96667,1
867103,1
Ride With the Devil,1
867103.0,1
242,1
64719710,1
12007366,1
107706073,1
Shanghai Noon,1
56932305,1
94746329.9571068,1
243,1
22389813,1
3955796,1
35483490,1
American Outlaws,1
13264986,1
21022417.5646818,1
84453058,1
14005482,1
125629174,1
Open Range,1
58331254,1
86771366.6259924,1
245,1
90475689,1
14569352,1
130687087,1
Hidalgo,1
67286731,1
97191930.3995861,1
246,1
14873,2
2320,1
20810,1
Major Dundee,1
20810.0,1
247,1
584825,1
89285,1
800886,1
Down in the Valley,1
568932,1
779121.401704783,1
248,1
57964064,1
8293652,1
74394058,1
3:10 to Yuma,1
53606916,1
68801870.3813647,1
20317697,1
2270814,1
20369202,1
Appaloosa,2
20080574,1
20131477.8974186,1
250,1
169906,1
19795,1
177561,1
130820,1
136714.00668605,1
251,1
92697737,1
10426173,1
93522772,1
True Grit,2
86670382,1
87441771.9058115,1
84669662,1
9440622,1
84682379,1
84572623,1
84585325.4251814,1
106297399,1
13353944,1
119784878,1
Django Unchained,1
106280122,1
119765408.818659,1
145859175,1
17940856,1
160929478,1
The Lone Ranger,1
89302115,1
98528890.9747773,1
255,1
2323054,1
284339,1
2550521,1
The Homesman,1
2272797,1
2495342.97404925,1
29521197,1
3501919,1
31412213,1
The Hateful Eight,1
29045855,1
30906422.3929374,1
257,1
147170965,1
16628696,1
149159403,1
The Magnificent Seven,1
93420253,1
94682461.0791195,1
258,1
61575125,1
6864560,1
61575103,1
The Dark Tower,1
50701325,1
50701306.8850688,1
259,1
33408750,1
3724495,1
33408720,1
Hostiles,1
29733369,1
29733342.3003758,1
260,1
Concert or Performance,19
148443,2
29221,1
262112,1
Stop Making Sense,1
262112.0,1
261,1
38847717,1
7207367,1
64650082,1
The Original Kings of Comedy,1
38168022,1
63518938.631009,1
262,1
3215111,1
568039,1
5095310,1
N'sync: Bigger than Live,1
1688717,1
2676279.79788878,1
263,1
20338177,1
3500545,1
31399889,1
Martin Lawrence Live: RunTelDat,1
19184820,1
29619233.7437608,1
264,1
70000,2
11608,1
104124,1
Concert for George,1
104124.0,1
265,1
1174079,2
189062,1
1695886,1
Festival Express,1
1695886.0,1
1154117,1
180048,1
1615031,1
Sarah Silverman: Jesus is Magic,1
1149330,1
1608332.23947832,1
267,1
2484609,1
379327,1
3402563,1
Neil Young: Heart of Gold,1
1828069,1
2503460.27920168,1
268,1
192068,1
27915,1
250398,1
Aida at La Scala,1
118108,1
153976.752941666,1
269,1
75628951,1
8718895,1
78208488,1
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,1
65281781,1
67508398.8135328,1
270,1
19953639,1
2241766,1
20108641,1
Jonas Brothers: The 3D Concert Experience,1
19162740,1
19311598.2120524,1
271,1
3128252,1
387512,1
3475983,1
U2 3D,1
2054521,1
2282897.94720598,1
272,1
95445317,1
10795027,1
96831392,1
Justin Bieber: Never Say Never,1
73013910,1
74074231.852179,1
273,1
28347099,1
3561192,1
31943892,1
Katy Perry: Part of Me,1
25326071,1
28539543.916234,1
274,1
64881892,1
7980550,1
71585534,1
Kevin Hart: Let Me Explain,1
32244051,1
35575528.6722871,1
275,1
3148116,1
385326,1
3456374,1
The Fluffy Movie,1
2827393,1
3104246.36607482,1
276,1
1150000,2
136417,1
1223660,1
The Met: Live in HD - Tannhauser,1
1223660.0,1
277,1
27211033,1
3145782,1
28217665,1
Kevin Hart: What Now?,1
23591043,1
24463758.8133679,1
278,1
2984320,1
332699,1
2984310,1
Mayweather vs. McGregor,1
2620183,1
2620174.22016741,1
279,1
Multiple Genres,18
332235,2
61639,1
552902,1
Under Suspicion,2
552902.0,1
280,1
355,1
3184,1
3184.0,1
281,1
391835,2
67441,1
604946,1
Kurosawa & Mifune Festival,1
604946.0,1
498239,1
82626,1
741155,1
The Animation Show,2
306362,1
455728.532110092,1
283,1
55134,1
8877,1
79627,1
36709,1
53016.787154932,1
